Pos,2024,Title,Director,Year,Country,Mins
40,,Rango,,2011,,
39,,Coraline,,2009,,
38,,Charlotte’s Web,,1973,,
37,,Grave of the Fireflies,,1988,,
36,,Fantastic Planet,,1973,,
35,,The Secret of NIMH,,1982,,
34,,Up,,2009,,
33,,Howl’s Moving Castle,,2004,,
32,,The Triplets of Belleville,,2003,,
31,,Fritz the Cat,,1972,,
30,,Persepolis,,2007,,
29,,The Incredibles,,2004,,
28,,The Wrong Trousers,,1993,,
27,,Waltz With Bashir,,2008,,
26,,Bambi,,1942,,
25,,"South Park: Bigger, Longer, Uncut",,1999,,
24,,The Adventures of Prince Achmed,,1926,,
23,,Yellow Submarine,,1968,,
22,,Toy Story,,1995,,
21,,The Lego Movie,,2014,,
20,,Pinocchio,,1940,,
19,,Akira,,1988,,
18,,Waking Life,,2001,,
17,,Anomalisa,,2015,,
16,,The Little Mermaid,,1989,,
15,,Chicken Run,,2000,,
14,,Steamboat Willie,,1928,,
13,,My Neighbor Totoro,,1988,,
12,,Inside Out,,2015,,
11,,"What’s Opera, Doc?",,1957,,
10,,World of Tomorrow,,2015,,
9,,Street of Crocodiles,,1986,,
8,,The Nightmare Before Christmas,,1993,,
7,,The Iron Giant,,1999,,
6,,WALL-E,,2008,,
5,,Duck Amuck,,1953,,
4,,Snow White and the Seven Dwarfs,,1937,,
3,,Fantasia,,1940,,
2,,Spirited Away,,2001,,
1,,Fantastic Mr. Fox,,2009,,
